system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\geo\Documents\GitHub\q-bert\
display  D   display_settings.c:191  debug_display_settings           [   0.08853] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08854] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08854] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08856] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08856] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08857] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08858] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08859] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.08860] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08861] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08862] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08863] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08864] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08865] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.08866] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08867] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.08868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08869] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08870] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08871] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08871] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08873] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08874] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08875] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08876] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08877] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08878] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08879] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08880] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08881] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08882] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08883] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08884] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08885] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08887] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08888] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08890] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08891] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08892] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08893] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08895] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08896] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08898] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08899] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08901] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08903] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08904] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08906] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08907] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08908] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08909] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08910] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08911] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08915] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08916] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08917] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08918] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08921] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08922] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08923] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08924] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08926] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08927] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08928] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08929] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08930] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08930] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08932] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08932] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08934] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08936] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08937] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08938] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08939] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08940] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08941] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08942] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08943] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08944] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08945] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08946] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
